Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Developments in Information & Knowledge Management for Business Applications","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-95813-8","Prof. Dr. Natalia KryvinskaProf. Dr. Michal Greguš","2022","http://link.springer.com/book/10.1007/978-3-030-95813-8","Book"
"System Lifecycle Management","","","","","10.1007/978-3-658-33874-9","Prof. Dr. Martin Eigner","2021","http://link.springer.com/book/10.1007/978-3-658-33874-9","Book"
"Transactional Migration of Inhomogeneous Composite Cloud Applications","Advances in Service-Oriented and Cloud Computing","","","","10.1007/978-3-030-63161-1_3","Josef SpillnerManuel Ramírez López","2020","http://link.springer.com/chapter/10.1007/978-3-030-63161-1_3","Chapter"
"Cybersecurity of Digital Service Chains","Lecture Notes in Computer Science","","","","10.1007/978-3-031-04036-8","Joanna KołodziejMatteo RepettoArmend Duzha","2022","http://link.springer.com/book/10.1007/978-3-031-04036-8","Book"
"Advances in System-Integrated Intelligence","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-16281-7","Maurizio ValleDirk LehmhusChristian GianoglioEdoardo RagusaLucia SeminaraStefan BosseAli IbrahimKlaus-Dieter Thoben","2023","http://link.springer.com/book/10.1007/978-3-031-16281-7","Book"
"Cloud Computing – CLOUD 2021","Lecture Notes in Computer Science","","","","10.1007/978-3-030-96326-2","Kejiang YeLiang-Jie Zhang","2022","http://link.springer.com/book/10.1007/978-3-030-96326-2","Book"
"Quantitative Evaluation of Systems","Lecture Notes in Computer Science","","","","10.1007/978-3-031-16336-4","Erika ÁbrahámMarco Paolieri","2022","http://link.springer.com/book/10.1007/978-3-031-16336-4","Book"
"Service-Oriented Computing – ICSOC 2021 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-031-14135-5","Hakim HacidMonther AldwairiMohamed Reda BouadjenekMarinella PetrocchiNoura FaciFatma OutayAmin BeheshtiLauritz ThamsenHai Dong","2022","http://link.springer.com/book/10.1007/978-3-031-14135-5","Book"
"Blockchain in Life Sciences","Blockchain Technologies","","","","10.1007/978-981-19-2976-2","Wendy Charles","2022","http://link.springer.com/book/10.1007/978-981-19-2976-2","Book"
"A Decentralized System for Load Balancing of Containerized Microservices in the Cloud","Advances in Systems Science","","","","10.1007/978-3-319-48944-5_14","Marian RusekGrzegorz DwornickiArkadiusz Orłowski","2017","http://link.springer.com/chapter/10.1007/978-3-319-48944-5_14","Chapter"
"Connected Business","","","","","10.1007/978-3-030-76897-3","Prof. Dr. Oliver GassmannFabrizio Ferrandina","2021","http://link.springer.com/book/10.1007/978-3-030-76897-3","Book"
"The Semantic Web","Lecture Notes in Computer Science","","","","10.1007/978-3-319-93417-4","Dr. Aldo GangemiProf. Roberto NavigliMaria-Esther VidalProf. Dr. Pascal HitzlerRaphaël TroncyLaura HollinkAnna TordaiMehwish Alam","2018","http://link.springer.com/book/10.1007/978-3-319-93417-4","Book"
"Fintech Dictionary","Contributions to Finance and Accounting","","","","10.1007/978-3-658-36056-6","Prof. Dr. Rainer AltDr. Stefan Huch","2022","http://link.springer.com/book/10.1007/978-3-658-36056-6","Book"
"Applied Computational Technologies","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-19-2719-5","Dr. Brijesh IyerProf. Tom CrickDr. Sheng-Lung Peng","2022","http://link.springer.com/book/10.1007/978-981-19-2719-5","Book"
"Bausteine der digitalen Transformation","","","","","10.1007/978-3-658-35107-6","Prof. Dr. Roland FrankSebastian StrugholtzFabian Meise","2021","http://link.springer.com/book/10.1007/978-3-658-35107-6","Book"
"Modeling Performance of Microservices Systems with Growth Theory","Empirical Software Engineering","","27","2","10.1007/s10664-021-10088-0","Matteo CamilliBarbara Russo","2022","http://link.springer.com/article/10.1007/s10664-021-10088-0","Article"
"Model and Data Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78428-7","Christian AttiogbéSadok Ben Yahia","2021","http://link.springer.com/book/10.1007/978-3-030-78428-7","Book"
"Handbook Digital Farming","","","","","10.1007/978-3-662-64378-5","Prof. Dr. Jörg DörrDr. Matthias Nachtmann","2022","http://link.springer.com/book/10.1007/978-3-662-64378-5","Book"
"Multi-access Edge Computing: Software Development at the Network Edge","Textbooks in Telecommunication Engineering","","","","10.1007/978-3-030-79618-1","Dario Sabella","2021","http://link.springer.com/book/10.1007/978-3-030-79618-1","Book"
"Beginning Scala 3","","","","","10.1007/978-1-4842-7422-4","David PollakVishal LaykaAndres Sacco","2022","http://link.springer.com/book/10.1007/978-1-4842-7422-4","Book"
"Internet of Things and Connected Technologies","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-030-76736-5","Dr. Rajiv MisraProf. Nishtha KesswaniProf. Muttukrishnan RajarajanProf. Veeravalli BharadwajProf. Ashok Patel","2021","http://link.springer.com/book/10.1007/978-3-030-76736-5","Book"
"Cognitive Informatics and Soft Computing","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-16-1056-1","Dr. Pradeep Kumar MallickDr. Akash Kumar BhoiDr. Gonçalo MarquesDr. Victor Hugo C. de Albuquerque","2021","http://link.springer.com/book/10.1007/978-981-16-1056-1","Book"
"Emerging Technologies in Computer Engineering: Cognitive Computing and Intelligent IoT","Communications in Computer and Information Science","","","","10.1007/978-3-031-07012-9","Prof. Valentina E. BalasDr. G. R. SinhaDr. Basant AgarwalTarun Kumar SharmaPankaj DadheechMehul Mahrishi","2022","http://link.springer.com/book/10.1007/978-3-031-07012-9","Book"
"Automatic Microservices Identification Across Structural Dependency","Hybrid Intelligent Systems","","","","10.1007/978-3-030-96305-7_36","Malak SaidiAnis TissaouiDjamal BenslimaneSami Faiz","2022","http://link.springer.com/chapter/10.1007/978-3-030-96305-7_36","Chapter"
"Fundamental Approaches to Software Engineering","Lecture Notes in Computer Science","","","","10.1007/978-3-030-99429-7","Prof. Einar Broch JohnsenProf. Manuel Wimmer","2022","http://link.springer.com/book/10.1007/978-3-030-99429-7","Book"
"Interoperability of Heterogeneous IoT Platforms","Internet of Things","","","","10.1007/978-3-030-82446-4","Carlos E. PalauGiancarlo FortinoMiguel MontesinosGeorge ExarchakosPablo GiménezGarik MarkarianValérie CastayFlavio FuartWiesław PawłowskiMarina MortaraAlessandro BassiFrans GeversGema Ibáñez-SánchezIgnacio Huet","2021","http://link.springer.com/book/10.1007/978-3-030-82446-4","Book"
"Spring Cloud","Spring Cloud Data Flow","","","","10.1007/978-1-4842-1239-4_5","Felipe Gutierrez","2021","http://link.springer.com/chapter/10.1007/978-1-4842-1239-4_5","Chapter"
"Agile Processes in Software Engineering and Extreme Programming","Lecture Notes in Business Information Processing","","","","10.1007/978-3-030-78098-2","Peggy GregoryProf. Casper LasseniusXiaofeng WangDr. Philippe Kruchten","2021","http://link.springer.com/book/10.1007/978-3-030-78098-2","Book"
"Business Information Systems","Lecture Notes in Business Information Processing","","","","10.1007/978-3-319-93931-5","Dr. Witold AbramowiczProf. Dr. Adrian Paschke","2018","http://link.springer.com/book/10.1007/978-3-319-93931-5","Book"
"Computer Safety, Reliability, and Security. SAFECOMP 2021 Workshops","Lecture Notes in Computer Science","","","","10.1007/978-3-030-83906-2","Ibrahim HabliMark SujanDr. Simos GerasimouErwin SchoitschFriedemann Bitsch","2021","http://link.springer.com/book/10.1007/978-3-030-83906-2","Book"
"Knowledge Management in Digital Change","Progress in IS","","","","10.1007/978-3-319-73546-7","Prof. Dr. Klaus NorthProf. Dr. Ronald MaierOliver Haas","2018","http://link.springer.com/book/10.1007/978-3-319-73546-7","Book"
"Cloud Migration","Essentials of Cloud Computing","","","","10.1007/978-3-030-13134-0_7","Chellammal SurianarayananPethuru Raj Chelliah","2019","http://link.springer.com/chapter/10.1007/978-3-030-13134-0_7","Chapter"
"Human Interface and the Management of Information. Information-Rich and Intelligent Environments","Lecture Notes in Computer Science","","","","10.1007/978-3-030-78361-7","Sakae YamamotoHirohiko Mori","2021","http://link.springer.com/book/10.1007/978-3-030-78361-7","Book"
"Blockchain and Trustworthy Systems","Communications in Computer and Information Science","","","","10.1007/978-981-15-2777-7","Zibin ZhengDr. Hong-Ning DaiMingdong TangXiangping Chen","2020","http://link.springer.com/book/10.1007/978-981-15-2777-7","Book"
"Advances in Production Management Systems. Production Management for the Factory of the Future","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-30000-5","Farhad AmeriProf. Kathryn E. SteckeGregor von CieminskiDimitris Kiritsis","2019","http://link.springer.com/book/10.1007/978-3-030-30000-5","Book"
"Best Practices and Strategy for the Migration of Service-Oriented Architecture-Based Applications to Microservices Architecture","Proceedings of Second International Conference on Advances in Computer Engineering and Communication Systems","","","","10.1007/978-981-16-7389-4_43","Vinay RajK. Srinivasa Reddy","2022","http://link.springer.com/chapter/10.1007/978-981-16-7389-4_43","Chapter"
"JCallGraph: Tracing Microservices in Very Large Scale Container Cloud Platforms","Cloud Computing – CLOUD 2019","","","","10.1007/978-3-030-23502-4_20","Haifeng LiuJinjun ZhangHuasong ShanMin LiYuan ChenXiaofeng HeXiaowei Li","2019","http://link.springer.com/chapter/10.1007/978-3-030-23502-4_20","Chapter"
"Application Design and Service Provisioning for Multi-access Edge Cloud (MEC)","Mobile Edge Computing","","","","10.1007/978-3-030-69893-5_21","Muhammad JaseemuddinHager GhoumaMaysam FazeliAmeera Al-KarkhiMohamad EldakrouryUvaiz Ahmed","2021","http://link.springer.com/chapter/10.1007/978-3-030-69893-5_21","Chapter"
"Artificial Intelligence Applications and Innovations. AIAI 2022 IFIP WG 12.5 International Workshops","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-08341-9","Ilias MaglogiannisLazaros IliadisProf. John MacintyrePaulo Cortez","2022","http://link.springer.com/book/10.1007/978-3-031-08341-9","Book"
"Advanced Computing and Intelligent Technologies","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-2980-9","Rabindra Nath ShawSanjoy DasVincenzo PiuriMonica Bianchini","2022","http://link.springer.com/book/10.1007/978-981-19-2980-9","Book"
"International Conference on Cognitive based Information Processing and Applications (CIPA 2021)","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-981-16-5854-9","Bernard J. JansenHaibo LiangDr. Jun Ye","2022","http://link.springer.com/book/10.1007/978-981-16-5854-9","Book"
"Driving Scientific and Engineering Discoveries Through the Integration of Experiment, Big Data, and Modeling and Simulation","Communications in Computer and Information Science","","","","10.1007/978-3-030-96498-6","Jeffrey NicholsDr. Arthur ‘Barney’ MaccabeDr. James NutaroSwaroop PophalePravallika DevineniTheresa AhearnBecky Verastegui","2022","http://link.springer.com/book/10.1007/978-3-030-96498-6","Book"
"Cloud Native Architecture and Design Patterns","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_4","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_4","Chapter"
"Automation","Microservices, IoT, and Azure","","","","10.1007/978-1-4842-1275-2_5","Bob Familiar","2015","http://link.springer.com/chapter/10.1007/978-1-4842-1275-2_5","Chapter"
"Information Systems Architecture and Organization in the Era of MicroServices","Network, Smart and Open","","","","10.1007/978-3-319-62636-9_11","Maurizio CavallariFrancesco Tornieri","2018","http://link.springer.com/chapter/10.1007/978-3-319-62636-9_11","Chapter"
"An Agile Approach for Managing Microservices-Based Software Development: Case Study in FinTech","Information Systems","","","","10.1007/978-3-030-95947-0_51","Vu H. A. Nguyen","2022","http://link.springer.com/chapter/10.1007/978-3-030-95947-0_51","Chapter"
"Frontiers in Software Engineering","Communications in Computer and Information Science","","","","10.1007/978-3-030-93135-3","Prof. Giancarlo SucciProf. Paolo CiancariniArtem Kruglov","2021","http://link.springer.com/book/10.1007/978-3-030-93135-3","Book"
"Information Technology as an Enabler of Digitisation","The Digital Transformation of the Automotive Industry","","","","10.1007/978-3-319-71610-7_8","Uwe Winkelhake","2018","http://link.springer.com/chapter/10.1007/978-3-319-71610-7_8","Chapter"
"The Green Computing Continuum: The OPERA Perspective","Hardware Accelerators in Data Centers","","","","10.1007/978-3-319-92792-3_4","A. SciontiO. TerzoP. RuiuG. GiordanengoS. CicciaG. UrliniJ. NiderM. RapoportC. PetrieR. ChamberlainG. RenaudD. TsafrirI. YanivD. Harryvan","2019","http://link.springer.com/chapter/10.1007/978-3-319-92792-3_4","Chapter"
"Learning Exercises and Solutions","Highly-Distributed Systems","","","","10.1007/978-3-030-92829-2_12","Andriy LuntovskyyDietbert Gütter","2022","http://link.springer.com/chapter/10.1007/978-3-030-92829-2_12","Chapter"
"Business Object Centric Microservices Patterns","On the Move to Meaningful Internet Systems: OTM 2019 Conferences","","","","10.1007/978-3-030-33246-4_30","Adambarage Anuruddha Chathuranga De AlwisAlistair BarrosColin FidgeArtem Polyvyanyy","2019","http://link.springer.com/chapter/10.1007/978-3-030-33246-4_30","Chapter"
"6G Mobile Wireless Networks","Computer Communications and Networks","","","","10.1007/978-3-030-72777-2","Dr. Yulei WuSukhdeep SinghTarik TalebAbhishek RoyHarpreet S. DhillonMadhan Raj KanagarathinamAloknath De","2021","http://link.springer.com/book/10.1007/978-3-030-72777-2","Book"
"Biologically Inspired Cognitive Architectures 2021","Studies in Computational Intelligence","","","","10.1007/978-3-030-96993-6","Prof. Valentin V. KlimovPh.D. David J. Kelley","2022","http://link.springer.com/book/10.1007/978-3-030-96993-6","Book"
"Organizational Impact on Software Development of eServices Techniques","Exploring Services Science","","","","10.1007/978-3-319-56925-3_6","Maurizio CavallariFrancesco TornieriMarco De Marco","2017","http://link.springer.com/chapter/10.1007/978-3-319-56925-3_6","Chapter"
"Human-Computer Interaction. User Experience and Behavior","Lecture Notes in Computer Science","","","","10.1007/978-3-031-05412-9","Masaaki Kurosu","2022","http://link.springer.com/book/10.1007/978-3-031-05412-9","Book"
"Docker Container Orchestration Management: A Review","Proceedings of the International Conference on Intelligent Vision and Computing (ICIVC 2021)","","","","10.1007/978-3-030-97196-0_12","Jigna N. AcharyaAnil C. Suthar","2022","http://link.springer.com/chapter/10.1007/978-3-030-97196-0_12","Chapter"
"Next Generation of Internet of Things","Lecture Notes in Networks and Systems","","","","10.1007/978-981-16-0666-3","Dr. Raghvendra KumarDr. Brojo Kishore MishraDr. Prasant Kumar Pattnaik","2021","http://link.springer.com/book/10.1007/978-981-16-0666-3","Book"
"Domain-Driven Architecture Modeling and Rapid Prototyping with Context Mapper","Model-Driven Engineering and Software Development","","","","10.1007/978-3-030-67445-8_11","Stefan KapfererOlaf Zimmermann","2021","http://link.springer.com/chapter/10.1007/978-3-030-67445-8_11","Chapter"
"Transit-hub: a smart public transportation decision support system with multi-timescale analytical services","Cluster Computing","","22","1","10.1007/s10586-018-1708-z","Fangzhou SunAbhishek DubeyJules WhiteAniruddha Gokhale","2019","http://link.springer.com/article/10.1007/s10586-018-1708-z","Article"
"Domain Objects and Microservices for Systems Development: A Roadmap","Proceedings of 5th International Conference in Software Engineering for Defence Applications","","","","10.1007/978-3-319-70578-1_10","Kizilov MikhailAntonio BucchiaroneManuel MazzaraLarisa SafinaVictor Rivera","2018","http://link.springer.com/chapter/10.1007/978-3-319-70578-1_10","Chapter"
"A microservices persistence technique for cloud-based online social data analysis","Cluster Computing","","24","3","10.1007/s10586-021-03244-0","Feras Al-ObeidatAnoud Bani-HaniOluwasegun AdedugbeMunir MajdalawiehElhadj Benkhelifa","2021","http://link.springer.com/article/10.1007/s10586-021-03244-0","Article"
"Real-Time Systems","","","","","10.1007/978-3-031-11992-7","Hermann KopetzWilfried Steiner","2022","http://link.springer.com/book/10.1007/978-3-031-11992-7","Book"
"Advances in Computer Science for Engineering and Education IV","Lecture Notes on Data Engineering and Communications Technologies","","","","10.1007/978-3-030-80472-5","Prof. Zhengbing HuProf. Sergey PetoukhovProf. Ivan DychkaProf. Matthew He","2021","http://link.springer.com/book/10.1007/978-3-030-80472-5","Book"
"Technological Innovation for Digitalization and Virtualization","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-031-07520-9","Prof. Luis M. Camarinha-Matos","2022","http://link.springer.com/book/10.1007/978-3-031-07520-9","Book"
"Computing Science, Communication and Security","Communications in Computer and Information Science","","","","10.1007/978-3-030-76776-1","Nirbhay ChaubeySatyen ParikhKiran Amin","2021","http://link.springer.com/book/10.1007/978-3-030-76776-1","Book"
"Become ITIL® 4 Foundation Certified in 7 Days","","","","","10.1007/978-1-4842-6361-7","Abhinav Krishna Kaiser","2021","http://link.springer.com/book/10.1007/978-1-4842-6361-7","Book"
"Mastering Azure API Management","","","","","10.1007/978-1-4842-8011-9","Sven Malvik","2022","http://link.springer.com/book/10.1007/978-1-4842-8011-9","Book"
"Current Trends in Communication and Information Technologies","Lecture Notes in Networks and Systems","","","","10.1007/978-3-030-76343-5","Petro VorobiyenkoProf. Mykhailo IlchenkoProf. Iryna Strelkovska","2021","http://link.springer.com/book/10.1007/978-3-030-76343-5","Book"
"Highlights in Practical Applications of Agents, Multi-Agent Systems, and Social Good. The PAAMS Collection","Communications in Computer and Information Science","","","","10.1007/978-3-030-85710-3","Fernando De La PrietaAlia El BolockDalila DurãesJoão CarneiroFernando LopesVicente Julian","2021","http://link.springer.com/book/10.1007/978-3-030-85710-3","Book"
"Enabling rank-based distribution of microservices among containers for green cloud computing environment","Peer-to-Peer Networking and Applications","","15","1","10.1007/s12083-021-01218-y","Abdul SaboorAhmad Kamil MahmoodAbdullah Hisam OmarMohd Fadzil HassanSyed Nasir Mehmood ShahAli Ahmadian","2022","http://link.springer.com/article/10.1007/s12083-021-01218-y","Article"
"Smart Cities and Smart Governance","Public Administration and Information Technology","","","","10.1007/978-3-030-61033-3","Elsa EstevezTheresa A. PardoProf. Hans Jochen Scholl","2021","http://link.springer.com/book/10.1007/978-3-030-61033-3","Book"
"Intelligent Transport Systems","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-97603-3","Ana Lúcia MartinsJoao C FerreiraAlexander Kocian","2022","http://link.springer.com/book/10.1007/978-3-030-97603-3","Book"
"Runtime Verification","Lecture Notes in Computer Science","","","","10.1007/978-3-030-88494-9","Ph.D. Lu FengDr. Dana Fisman","2021","http://link.springer.com/book/10.1007/978-3-030-88494-9","Book"
"Clood CBR: Towards Microservices Oriented Case-Based Reasoning","Case-Based Reasoning Research and Development","","","","10.1007/978-3-030-58342-2_9","Ikechukwu Nkisi-OrjiNirmalie WiratungaChamath PalihawadanaJuan A. Recio-GarcíaDavid Corsar","2020","http://link.springer.com/chapter/10.1007/978-3-030-58342-2_9","Chapter"
"An Elastic Software Architecture for Extreme-Scale Big Data Analytics","Technologies and Applications for Big Data Value","","","","10.1007/978-3-030-78307-5_5","Maria A. SerranoCésar A. MarínAnna QueraltCristovao CordeiroMarco GonzalezLuis Miguel PinhoEduardo Quiñones","2022","http://link.springer.com/chapter/10.1007/978-3-030-78307-5_5","Chapter"
"Artificial Intelligence for Cloud and Edge Computing","Internet of Things","","","","10.1007/978-3-030-80821-1","Prof. Sanjay MisraProf. Amit Kumar TyagiProf. Vincenzo PiuriLalit Garg","2022","http://link.springer.com/book/10.1007/978-3-030-80821-1","Book"
"Deploying and Running Microservices","Microservices From Day One","","","","10.1007/978-1-4842-1937-9_10","Cloves Carneiro Jr.Tim Schmelmer","2016","http://link.springer.com/chapter/10.1007/978-1-4842-1937-9_10","Chapter"
"AI and Blockchain Technology in 6G Wireless Network","Blockchain Technologies","","","","10.1007/978-981-19-2868-0","Dr. Malaya Dutta BorahDr. Pushpa SinghDr. Ganesh Chandra Deka","2022","http://link.springer.com/book/10.1007/978-981-19-2868-0","Book"
"ERP Future Trends","Compendium on Enterprise Resource Planning","","","","10.1007/978-3-030-93856-7_3","Siar Sarferaz","2022","http://link.springer.com/chapter/10.1007/978-3-030-93856-7_3","Chapter"
"Product Lifecycle Management. Green and Blue Technologies to Support Smart and Sustainable Organizations","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-94399-8","Prof. Osiris Canciglieri JuniorProf. Frédéric NoëlLouis RivestProf. Dr. Abdelaziz Bouras","2022","http://link.springer.com/book/10.1007/978-3-030-94399-8","Book"
"Human Centred Intelligent Systems","Smart Innovation, Systems and Technologies","","","","10.1007/978-981-16-3264-8","Prof. Dr. Alfred ZimmermannProf. Robert J. HowlettProf. Lakhmi C. JainProf. Rainer Schmidt","2021","http://link.springer.com/book/10.1007/978-981-16-3264-8","Book"
"Deep Dive Into Microservices Development with Java","Rapid Java Persistence and Microservices","","","","10.1007/978-1-4842-4476-0_6","Raj Malhotra","2019","http://link.springer.com/chapter/10.1007/978-1-4842-4476-0_6","Chapter"
"Demystifying the Azure Well-Architected Framework","","","","","10.1007/978-1-4842-7119-3","Shijimol Ambi Karthikeyan","2021","http://link.springer.com/book/10.1007/978-1-4842-7119-3","Book"
"Principles for Security","Safety and Security of Cyber-Physical Systems","","","","10.1007/978-3-658-37182-1_11","Frank J. Furrer","2022","http://link.springer.com/chapter/10.1007/978-3-658-37182-1_11","Chapter"
"Design and Deploy Microsoft Azure Virtual Desktop","","","","","10.1007/978-1-4842-7796-6","Puthiyavan Udayakumar","2022","http://link.springer.com/book/10.1007/978-1-4842-7796-6","Book"
"Towards Greener Applications: Enabling Sustainable-aware Cloud Native Applications Design","Advanced Information Systems Engineering","","","","10.1007/978-3-031-07472-1_6","Monica Vitali","2022","http://link.springer.com/chapter/10.1007/978-3-031-07472-1_6","Chapter"
"Bio-inspired Systems and Applications: from Robotics to Ambient Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-031-06527-9","José Manuel Ferrández VicenteJosé Ramón Álvarez-SánchezFélix de la Paz LópezHojjat Adeli","2022","http://link.springer.com/book/10.1007/978-3-031-06527-9","Book"
"Migrating the INTO-CPS Application to the Cloud","Formal Methods. FM 2019 International Workshops","","","","10.1007/978-3-030-54997-8_17","Hugo Daniel MacedoMikkel Bayard RasmussenCasper ThulePeter Gorm Larsen","2020","http://link.springer.com/chapter/10.1007/978-3-030-54997-8_17","Chapter"
"Formal Software Architectural Migration Towards Emerging Architectural Styles","Software Architecture","","","","10.1007/978-3-030-58923-3_2","Nacha ChondamrongkulJing SunIan Warren","2020","http://link.springer.com/chapter/10.1007/978-3-030-58923-3_2","Chapter"
"A Holistic View of Software and Hardware Reuse","Studies in Systems, Decision and Control","","","","10.1007/978-3-030-72261-6","Prof. Dr. Fevzi BelliDr. Ferdinand Quella","2021","http://link.springer.com/book/10.1007/978-3-030-72261-6","Book"
"Agile Product and Project Management","","","","","10.1007/978-1-4842-8200-7","Mariya Breyter","2022","http://link.springer.com/book/10.1007/978-1-4842-8200-7","Book"
"VLSI, Microwave and Wireless Technologies","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-0312-0","Brijesh MishraManish Tiwari","2023","http://link.springer.com/book/10.1007/978-981-19-0312-0","Book"
"Special Topics","Future-Proof Software-Systems","","","","10.1007/978-3-658-19938-8_10","Frank J. Furrer","2019","http://link.springer.com/chapter/10.1007/978-3-658-19938-8_10","Chapter"
"Pro Windows Subsystem for Linux (WSL)","","","","","10.1007/978-1-4842-6873-5","Hayden Barnes","2021","http://link.springer.com/book/10.1007/978-1-4842-6873-5","Book"
"Mobile Internet Security","Communications in Computer and Information Science","","","","10.1007/978-981-16-9576-6","Prof. Ilsun YouHwankuk KimTaek-Young YounProf. Francesco PalmieriProf. Dr. Igor Kotenko","2022","http://link.springer.com/book/10.1007/978-981-16-9576-6","Book"
"Optimization Design of Privacy Protection System Based on Cloud Native","Advances in Artificial Intelligence and Security","","","","10.1007/978-3-031-06761-7_48","Yifan ZhangShuli ZhangChengyun GuoLuogang ZhangYinggang SunHai Huang","2022","http://link.springer.com/chapter/10.1007/978-3-031-06761-7_48","Chapter"
"Business Process Management","Lecture Notes in Computer Science","","","","10.1007/978-3-030-58666-9","Dirk FahlandChiara GhidiniProf. Dr. Jörg BeckerProf. Marlon Dumas","2020","http://link.springer.com/book/10.1007/978-3-030-58666-9","Book"
"Introduction to Cloud Native Architecture","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_1","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_1","Chapter"
"Event-Driven Architecture","Cloud Native Architecture and Design","","","","10.1007/978-1-4842-7226-8_6","Shivakumar R Goniwada","2022","http://link.springer.com/chapter/10.1007/978-1-4842-7226-8_6","Chapter"
"The Palgrave Handbook of Service Management","","","","","10.1007/978-3-030-91828-6","Bo EdvardssonBård Tronvoll","2022","http://link.springer.com/book/10.1007/978-3-030-91828-6","Book"
"Server Side","Rust for the IoT","","","","10.1007/978-1-4842-5860-6_2","Joseph Faisal Nusairat","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5860-6_2","Chapter"
"Infrastructure-as-Code Automation Using Terraform, Packer, Vault, Nomad and Consul","","","","","10.1007/978-1-4842-7129-2","Navin SabharwalSarvesh PandeyPiyush Pandey","2021","http://link.springer.com/book/10.1007/978-1-4842-7129-2","Book"
"Development of an industrial Internet of things suite for smart factory towards re-industrialization","Advances in Manufacturing","","5","4","10.1007/s40436-017-0197-2","C. K. M. LeeS. Z. ZhangK. K. H. Ng","2017","http://link.springer.com/article/10.1007/s40436-017-0197-2","Article"
"Dynamics in Logistics","","","","","10.1007/978-3-030-88662-2","Prof. Dr. Michael FreitagProf. Dr. Herbert KotzabProf. Dr. Nicole Megow","2021","http://link.springer.com/book/10.1007/978-3-030-88662-2","Book"
"Advances in Production Management Systems. Artificial Intelligence for Sustainable and Resilient Production Systems","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-85910-7","Alexandre DolguiProf. Alain BernardDavid LemoineGregor von CieminskiDavid Romero","2021","http://link.springer.com/book/10.1007/978-3-030-85910-7","Book"
"Cloud-Transformation","","","","","10.1007/978-3-658-27325-5","Prof. Dr. Roland FrankGregor SchumacherAndreas Tamm","2019","http://link.springer.com/book/10.1007/978-3-658-27325-5","Book"
"Innovation Through Information Systems","Lecture Notes in Information Systems and Organisation","","","","10.1007/978-3-030-86797-3","Prof. Dr. Frederik AhlemannProf. Dr. Reinhard SchütteProf. Dr. Stefan Stieglitz","2021","http://link.springer.com/book/10.1007/978-3-030-86797-3","Book"
"Hands-on AIOps","","","","","10.1007/978-1-4842-8267-0","Navin SabharwalGaurav Bhardwaj","2022","http://link.springer.com/book/10.1007/978-1-4842-8267-0","Book"
"Agile Testing","","","","","10.1007/978-3-030-73209-7","Manfred BaumgartnerMartin KlonkChristian MastnakHelmut PichlerRichard SeidlSiegfried Tanczos","2021","http://link.springer.com/book/10.1007/978-3-030-73209-7","Book"
"Provenance and Annotation of Data and Processes","Lecture Notes in Computer Science","","","","10.1007/978-3-642-17819-1","Deborah L. McGuinnessJames R. MichaelisLuc Moreau","2010","http://link.springer.com/book/10.1007/978-3-642-17819-1","Book"
"From Code Refactoring to API Refactoring: Agile Service Design and Evolution","Service-Oriented Computing","","","","10.1007/978-3-030-87568-8_11","Mirko StockerOlaf Zimmermann","2021","http://link.springer.com/chapter/10.1007/978-3-030-87568-8_11","Chapter"
"Information and Communication Technologies in Education, Research, and Industrial Applications","Communications in Computer and Information Science","","","","10.1007/978-3-030-77592-6","Prof. Dr. Andreas BollinVadim ErmolayevHeinrich C. MayrProf. Dr. Mykola NikitchenkoAleksander SpivakovskyMykola TkachukVitaliy YakovynaGrygoriy Zholtkevych","2021","http://link.springer.com/book/10.1007/978-3-030-77592-6","Book"
"Building Solutions in the Azure Cloud","Cloud Debugging and Profiling in Microsoft Azure","","","","10.1007/978-1-4842-5437-0_1","Jeffrey ChilbertoSjoukje ZaalGaurav AroraaEd Price","2020","http://link.springer.com/chapter/10.1007/978-1-4842-5437-0_1","Chapter"
